la_code,la_name,2G premises (outdoor): no reliable signal by LA (%),2G premises (outdoor): signal from 1 operator by LA (%),2G premises (outdoor): signal from 2 operators by LA (%),2G premises (outdoor): signal from all operators by LA (%),2G premises (indoor): no reliable signal by LA (%),2G premises (indoor): signal from 1 operator by LA (%),2G premises (indoor): signal from 2 operators by LA (%),2G premises (indoor): signal from all operators by LA (%),2G geographic (outdoor): no reliable signal by LA (%),2G geographic (outdoor): signal from 1 operator by LA (%),2G geographic (outdoor): signal from 2 operators by LA (%),2G geographic (outdoor): signal from all operators by LA (%),2G geographic (indoor): no reliable signal by LA (%),2G geographic (indoor): signal from 1 operator by LA (%),2G geographic (indoor): signal from 2 operators by LA (%),2G geographic (indoor): signal from all operators by LA (%),2G roads: no reliable signal by LA (%),2G roads: signal from 1 operator by LA (%),2G roads: signal from 2 operators by LA (%),2G roads: signal from all operators by LA (%),2G motorways: no reliable signal by LA (%),2G motorways: signal from 1 operator by LA (%),2G motorways: signal from 2 operators by LA (%),2G motorways: signal from all operators by LA (%),3G premises (outdoor): no reliable signal by LA (%),3G premises (outdoor): signal from 1 operator by LA (%),3G premises (outdoor): signal from 2 operators by LA (%),3G premises (outdoor): signal from 3 operators by LA (%),3G premises (outdoor): signal from all operators by LA (%),3G premises (indoor): no reliable signal by LA (%),3G premises (indoor): signal from 1 operator by LA (%),3G premises (indoor): signal from 2 operators by LA (%),3G premises (indoor): signal from 3 operators by LA (%),3G premises (indoor): signal from all operators by LA (%),3G geographic (outdoor): no reliable signal by LA (%),3G geographic (outdoor): signal from 1 operator by LA (%),3G geographic (outdoor): signal from 2 operators by LA (%),3G geographic (outdoor): signal from 3 operators by LA (%),3G geographic (outdoor): signal from all operators by LA (%),3G geographic (indoor): no reliable signal by LA (%),3G geographic (indoor): signal from 1 operator by LA (%),3G geographic (indoor): signal from 2 operators by LA (%),3G geographic (indoor): signal from 3 operators by LA (%),3G geographic (indoor): signal from all operators by LA (%),3G roads: no reliable signal by LA (%),3G roads: signal from 1 operator by LA (%),3G roads: signal from 2 operators by LA (%),3G roads: signal from 3 operators by LA (%),3G roads: signal from all operators by LA (%),3G motorways: no reliable signal by LA (%),3G motorways: signal from 1 operator by LA (%),3G motorways: signal from 2 operators by LA (%),3G motorways: signal from 3 operators by LA (%),3G motorways: signal from all operators by LA (%),4G premises (outdoor): no reliable signal by LA (%),4G premises (outdoor): signal from 1 operator by LA (%),4G premises (outdoor): signal from 2 operators by LA (%),4G premises (outdoor): signal from 3 operators by LA (%),4G premises (outdoor): signal from all operators by LA (%),4G premises (indoor): no reliable signal by LA (%),4G premises (indoor): signal from 1 operator by LA (%),4G premises (indoor): signal from 2 operators by LA (%),4G premises (indoor): signal from 3 operators by LA (%),4G premises (indoor): signal from all operators by LA (%),4G geographic (outdoor): no reliable signal by LA (%),4G geographic (outdoor): signal from 1 operator by LA (%),4G geographic (outdoor): signal from 2 operators by LA (%),4G geographic (outdoor): signal from 3 operators by LA (%),4G geographic (outdoor): signal from all operators by LA (%),4G geographic (indoor): no reliable signal by LA (%),4G geographic (indoor): signal from 1 operator by LA (%),4G geographic (indoor): signal from 2 operators by LA (%),4G geographic (indoor): signal from 3 operators by LA (%),4G geographic (indoor): signal from all operators by LA (%),4G roads: no reliable signal by LA (%),4G roads: signal from 1 operator by LA (%),4G roads: signal from 2 operators by LA (%),4G roads: signal from 3 operators by LA (%),4G roads: signal from all operators by LA (%),4G motorways: no reliable signal by LA (%),4G motorways: signal from 1 operator by LA (%),4G motorways: signal from 2 operators by LA (%),4G motorways: signal from 3 operators by LA (%),4G motorways: signal from all operators by LA (%)
00-QY,North Ayrshire,1.83%,1.15%,7.63%,89.39%,4.95%,12.94%,36.31%,45.80%,25.45%,14.25%,16.17%,44.13%,55.82%,15.53%,14.68%,13.96%,55.82%,15.53%,14.68%,13.96%,,,,,0.51%,0.92%,1.83%,4.63%,92.12%,2.62%,2.31%,5.59%,20.85%,68.63%,14.39%,13.02%,15.87%,14.38%,42.35%,34.03%,14.89%,15.39%,15.88%,19.81%,12.81%,7.26%,13.06%,22.66%,44.22%,,,,,,1.38%,5.73%,4.42%,12.71%,75.75%,2.60%,12.95%,10.04%,33.90%,40.51%,36.43%,13.75%,9.53%,12.43%,27.86%,46.07%,20.15%,10.42%,11.14%,12.21%,15.68%,20.87%,14.57%,22.88%,26.00%,,,,,
95-WX,North Down And Ards,0.08%,0.50%,5.07%,94.35%,2.73%,5.48%,28.89%,62.90%,0.18%,1.98%,9.55%,88.29%,11.43%,18.37%,27.12%,43.07%,11.43%,18.37%,27.12%,43.07%,0.00%,0.33%,17.28%,82.39%,0.00%,0.00%,0.52%,3.14%,96.34%,0.14%,1.10%,6.59%,12.48%,79.69%,0.00%,0.00%,0.32%,11.61%,88.07%,0.54%,3.40%,12.42%,35.06%,48.59%,0.05%,2.32%,13.38%,29.76%,54.49%,0.00%,0.00%,0.00%,14.29%,85.71%,0.00%,0.00%,0.17%,1.58%,98.25%,0.29%,1.59%,4.76%,9.03%,84.34%,0.00%,0.01%,0.19%,2.58%,97.23%,0.42%,4.46%,9.40%,18.70%,67.02%,0.29%,3.91%,7.87%,19.71%,68.21%,0.00%,0.00%,0.00%,3.65%,96.35%
00-FC,North East Lincolnshire,0.18%,0.67%,3.85%,95.30%,2.89%,5.80%,20.47%,70.84%,2.69%,3.13%,11.68%,82.50%,13.51%,14.96%,31.28%,40.25%,13.51%,14.96%,31.28%,40.25%,,,,,0.00%,0.06%,0.10%,2.29%,97.55%,1.27%,1.39%,3.13%,5.97%,88.23%,0.02%,0.82%,2.80%,9.37%,86.99%,4.19%,7.50%,14.99%,28.18%,45.14%,1.36%,5.00%,10.94%,26.88%,55.83%,,,,,,0.00%,0.05%,0.24%,0.57%,99.15%,0.21%,2.27%,2.45%,6.96%,88.12%,0.05%,0.62%,1.47%,3.96%,93.90%,2.33%,6.69%,15.76%,17.81%,57.41%,0.43%,3.50%,11.58%,12.79%,71.69%,,,,,
00-QZ,North Lanarkshire,0.01%,0.09%,2.83%,97.07%,1.06%,5.93%,31.30%,61.70%,2.82%,6.04%,9.83%,81.31%,14.85%,14.08%,28.23%,42.84%,14.85%,14.08%,28.23%,42.84%,0.20%,6.02%,27.71%,66.06%,0.00%,0.00%,0.17%,2.72%,97.10%,0.10%,0.60%,3.92%,12.67%,82.70%,0.32%,1.16%,4.61%,9.42%,84.48%,5.40%,8.06%,10.36%,23.97%,52.20%,1.36%,2.63%,6.51%,18.83%,70.66%,0.00%,1.20%,2.61%,25.50%,70.68%,0.00%,0.09%,2.72%,3.61%,93.58%,0.26%,3.31%,7.67%,17.35%,71.41%,2.37%,2.20%,4.99%,8.59%,81.85%,6.27%,9.09%,16.36%,17.30%,50.98%,2.46%,5.39%,10.36%,15.22%,66.58%,0.00%,8.23%,11.24%,30.52%,50.00%
00-FD,North Lincolnshire,0.30%,1.04%,9.08%,89.58%,7.33%,10.89%,23.78%,58.01%,0.37%,1.59%,8.52%,89.52%,16.88%,21.27%,27.25%,34.60%,16.88%,21.27%,27.25%,34.60%,1.09%,5.87%,18.48%,74.57%,0.00%,0.08%,1.87%,6.11%,91.94%,2.18%,4.22%,9.70%,12.26%,71.64%,0.00%,0.01%,0.72%,6.66%,92.61%,1.56%,5.12%,16.70%,26.81%,49.81%,2.25%,4.47%,13.51%,23.08%,56.70%,0.00%,0.00%,3.48%,6.30%,90.22%,0.00%,0.02%,0.83%,6.85%,92.30%,2.34%,6.53%,7.87%,15.51%,67.75%,0.00%,0.04%,0.89%,5.47%,93.60%,1.20%,6.73%,12.74%,21.08%,58.25%,1.08%,7.32%,12.93%,20.59%,58.08%,0.00%,0.00%,2.83%,6.96%,90.22%
00-HC,North Somerset,0.07%,0.25%,3.25%,96.42%,2.56%,7.52%,23.12%,66.80%,0.39%,1.19%,5.60%,92.83%,5.76%,13.60%,25.66%,54.98%,5.76%,13.60%,25.66%,54.98%,0.00%,1.11%,20.06%,78.83%,0.03%,0.05%,0.73%,2.70%,96.49%,0.41%,1.73%,5.71%,15.77%,76.38%,0.08%,0.19%,1.17%,6.55%,92.02%,0.95%,3.64%,13.06%,18.97%,63.39%,1.51%,4.34%,14.10%,17.66%,62.39%,0.00%,0.00%,3.62%,5.29%,91.09%,0.05%,0.09%,2.28%,8.93%,88.65%,0.29%,2.23%,10.93%,24.39%,62.16%,0.14%,0.85%,9.11%,10.30%,79.60%,1.54%,4.99%,31.17%,20.80%,41.49%,1.07%,4.83%,28.44%,13.07%,52.59%,0.00%,0.00%,16.71%,15.04%,68.25%
00-CK,North Tyneside District,0.00%,0.00%,0.99%,99.01%,0.56%,1.85%,27.23%,70.36%,0.00%,0.05%,1.09%,98.86%,0.72%,1.74%,21.04%,76.49%,0.72%,1.74%,21.04%,76.49%,,,,,0.00%,0.00%,0.00%,0.13%,99.87%,0.00%,0.00%,1.68%,10.58%,87.74%,0.00%,0.00%,0.01%,0.50%,99.49%,0.00%,0.02%,1.57%,15.40%,83.01%,0.00%,0.07%,2.22%,12.94%,84.77%,,,,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.01%,0.40%,5.23%,94.36%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.06%,0.44%,4.13%,95.37%,0.00%,0.14%,0.29%,4.36%,95.21%,,,,,
36-00,North Yorkshire County,1.69%,3.27%,11.66%,83.37%,10.03%,14.71%,25.84%,49.42%,16.36%,10.55%,16.90%,56.19%,38.71%,20.86%,19.69%,20.73%,38.71%,20.86%,19.69%,20.73%,0.00%,5.12%,15.25%,79.63%,1.67%,1.41%,7.09%,8.21%,81.62%,4.96%,4.63%,14.27%,18.73%,57.40%,11.29%,5.96%,13.55%,13.54%,55.66%,24.76%,10.04%,20.25%,19.79%,25.16%,11.54%,5.97%,18.30%,22.02%,42.17%,0.00%,0.00%,0.33%,19.83%,79.85%,4.52%,1.99%,5.60%,19.38%,68.51%,8.40%,5.37%,16.68%,27.21%,42.35%,17.89%,7.87%,12.02%,13.73%,48.49%,32.07%,10.50%,14.83%,19.45%,23.14%,17.91%,7.19%,15.17%,24.20%,35.54%,0.00%,0.44%,3.27%,22.66%,73.64%
34-00,Northamptonshire County,0.37%,1.56%,5.87%,92.20%,4.21%,9.25%,27.54%,59.00%,1.60%,5.77%,13.19%,79.44%,14.95%,20.92%,24.07%,40.06%,14.95%,20.92%,24.07%,40.06%,0.00%,0.15%,7.73%,92.12%,0.01%,0.16%,1.49%,4.72%,93.62%,1.63%,3.10%,7.65%,15.44%,72.18%,0.10%,0.52%,2.79%,12.19%,84.40%,4.96%,9.51%,17.13%,29.56%,38.84%,1.51%,3.95%,10.61%,26.86%,57.06%,0.00%,0.59%,3.27%,13.97%,82.17%,0.24%,0.85%,2.69%,9.74%,86.48%,4.24%,5.48%,13.57%,20.28%,56.43%,0.45%,1.85%,5.21%,17.00%,75.49%,9.07%,14.69%,19.64%,23.45%,33.15%,5.10%,8.67%,13.90%,25.40%,46.93%,0.00%,0.00%,6.09%,14.56%,79.35%
00-EM,Northumberland,2.26%,3.40%,8.72%,85.63%,9.11%,12.16%,34.72%,44.00%,22.35%,13.03%,19.57%,45.05%,46.81%,18.99%,18.85%,15.35%,46.81%,18.99%,18.85%,15.35%,,,,,3.27%,1.93%,9.12%,8.90%,76.77%,6.45%,5.58%,15.81%,15.40%,56.77%,23.18%,9.76%,18.71%,13.14%,35.21%,40.40%,13.48%,21.06%,10.45%,14.61%,14.78%,11.32%,27.62%,15.81%,30.47%,,,,,,6.21%,11.87%,5.56%,10.91%,65.44%,12.96%,13.88%,9.71%,19.40%,44.03%,35.18%,16.96%,13.19%,13.84%,20.82%,51.02%,18.81%,11.60%,9.36%,9.22%,27.30%,21.82%,15.09%,16.03%,19.76%,,,,,
37-00,Nottinghamshire County,0.04%,0.92%,5.16%,93.88%,4.20%,9.72%,29.45%,56.64%,1.28%,2.91%,12.64%,83.17%,12.93%,22.82%,29.17%,35.08%,12.93%,22.82%,29.17%,35.08%,0.00%,2.05%,19.80%,78.16%,0.01%,0.14%,0.96%,4.05%,94.83%,0.88%,2.45%,8.56%,17.17%,70.95%,0.31%,1.06%,3.35%,10.08%,85.20%,4.97%,12.81%,17.48%,24.54%,40.20%,2.36%,6.36%,13.34%,24.40%,53.54%,0.00%,0.00%,2.39%,12.63%,84.98%,0.19%,1.13%,3.37%,6.12%,89.19%,2.33%,5.81%,7.94%,18.15%,65.77%,0.37%,2.51%,8.86%,11.56%,76.70%,7.87%,13.48%,18.04%,19.15%,41.46%,4.23%,9.88%,12.98%,18.55%,54.36%,0.00%,0.00%,5.12%,10.24%,84.64%
00-BP,Oldham District,0.00%,0.00%,0.09%,99.90%,0.02%,0.58%,12.79%,86.61%,1.83%,4.65%,3.47%,90.05%,6.47%,7.07%,10.77%,75.70%,6.47%,7.07%,10.77%,75.70%,0.00%,0.00%,1.10%,98.90%,0.00%,0.00%,0.00%,0.11%,99.89%,0.00%,0.00%,0.63%,10.15%,89.22%,0.01%,0.31%,2.08%,4.77%,92.83%,1.84%,3.67%,5.12%,14.44%,74.93%,0.00%,0.94%,3.57%,12.66%,82.83%,0.00%,0.00%,0.00%,7.69%,92.31%,0.00%,0.01%,0.13%,3.25%,96.61%,0.00%,0.45%,0.74%,6.74%,92.06%,0.59%,1.56%,2.10%,10.69%,85.05%,4.14%,4.56%,5.42%,23.78%,62.10%,2.49%,3.03%,3.91%,20.67%,69.90%,0.00%,0.00%,0.00%,0.00%,100.00%
00-RA,Orkney Islands,10.10%,9.02%,21.95%,58.92%,37.39%,14.28%,32.23%,16.10%,21.19%,15.62%,21.67%,41.52%,65.68%,10.55%,11.10%,12.67%,65.68%,10.55%,11.10%,12.67%,,,,,14.27%,13.48%,30.16%,42.08%,0.00%,30.86%,21.27%,39.76%,8.12%,0.00%,24.04%,24.05%,40.87%,11.04%,0.00%,52.50%,18.02%,25.41%,4.06%,0.00%,52.73%,17.57%,24.47%,5.23%,0.00%,,,,,,21.17%,34.69%,44.14%,0.00%,0.00%,40.93%,33.02%,26.04%,0.00%,0.00%,37.93%,49.13%,12.94%,0.00%,0.00%,64.52%,31.64%,3.84%,0.00%,0.00%,66.82%,26.63%,6.55%,0.00%,0.00%,,,,,
38-00,Oxfordshire County,0.16%,1.04%,7.23%,91.58%,3.87%,9.06%,29.99%,57.08%,1.40%,3.24%,10.47%,84.89%,11.95%,20.26%,28.61%,39.18%,11.95%,20.26%,28.61%,39.18%,0.00%,0.99%,14.93%,84.08%,0.02%,0.03%,0.85%,4.51%,94.59%,0.54%,1.29%,8.20%,16.67%,73.30%,0.22%,0.42%,1.87%,7.75%,89.73%,2.32%,3.69%,12.75%,31.05%,50.19%,1.11%,1.92%,8.55%,27.28%,61.13%,0.00%,0.00%,1.69%,13.38%,84.93%,0.02%,0.17%,1.52%,4.88%,93.40%,1.47%,3.12%,9.68%,21.73%,63.99%,0.17%,0.64%,2.05%,7.84%,89.30%,3.06%,5.78%,14.85%,21.95%,54.35%,1.85%,3.33%,12.34%,20.82%,61.66%,0.00%,0.99%,8.73%,9.86%,80.42%
00-NS,Sir Benfro - Pembrokeshire,3.98%,7.72%,16.45%,71.85%,16.31%,17.91%,31.04%,34.74%,10.84%,14.31%,22.60%,52.26%,34.47%,26.44%,22.78%,16.31%,34.47%,26.44%,22.78%,16.31%,,,,,2.20%,5.75%,29.06%,23.44%,39.55%,10.32%,13.27%,35.27%,23.18%,17.97%,6.91%,11.66%,43.45%,17.91%,20.07%,21.90%,24.40%,39.35%,9.99%,4.37%,10.91%,20.42%,42.77%,17.97%,7.93%,,,,,,4.42%,35.15%,52.85%,3.36%,4.23%,14.26%,47.11%,35.62%,1.36%,1.65%,11.57%,51.48%,25.89%,5.65%,5.41%,30.54%,52.18%,13.56%,1.56%,2.17%,16.83%,53.10%,24.40%,2.22%,3.46%,,,,,
00-RB,Perth and Kinross,0.74%,1.76%,7.71%,89.78%,4.95%,11.25%,36.16%,47.63%,29.54%,12.88%,18.16%,39.42%,48.96%,18.40%,17.86%,14.78%,48.96%,18.40%,17.86%,14.78%,0.21%,2.77%,10.21%,86.81%,0.49%,0.87%,10.53%,6.27%,81.83%,1.99%,5.12%,15.21%,18.01%,59.66%,23.57%,10.28%,21.78%,11.57%,32.80%,38.38%,12.88%,21.56%,10.50%,16.68%,9.62%,10.68%,31.25%,14.26%,34.20%,0.00%,1.28%,14.68%,8.51%,75.53%,8.72%,1.56%,5.68%,23.84%,60.21%,11.34%,4.95%,14.99%,26.49%,42.22%,51.36%,7.02%,10.33%,12.04%,19.25%,60.66%,8.09%,10.67%,11.54%,9.03%,37.40%,8.95%,14.45%,20.14%,19.05%,11.91%,6.17%,4.26%,4.47%,73.19%
00-HP,Poole,0.00%,0.02%,0.83%,99.15%,0.29%,2.13%,20.96%,76.62%,0.00%,0.72%,2.38%,96.90%,1.49%,4.00%,26.15%,68.36%,1.49%,4.00%,26.15%,68.36%,,,,,0.00%,0.00%,0.00%,0.40%,99.60%,0.00%,0.01%,0.89%,11.33%,87.76%,0.00%,0.00%,0.17%,2.59%,97.25%,0.06%,0.39%,3.11%,20.20%,76.23%,0.00%,0.24%,2.82%,16.65%,80.29%,,,,,,0.00%,0.00%,0.00%,0.25%,99.75%,0.00%,0.02%,0.13%,5.47%,94.38%,0.00%,0.00%,0.00%,0.18%,99.82%,0.00%,1.05%,1.22%,6.27%,91.45%,0.00%,0.98%,0.86%,7.10%,91.06%,,,,,
00-NN,Powys - Powys,7.68%,9.18%,19.70%,63.45%,18.96%,25.41%,28.94%,26.69%,27.62%,18.22%,19.64%,34.53%,51.42%,21.14%,15.68%,11.76%,51.42%,21.14%,15.68%,11.76%,,,,,8.38%,7.78%,61.48%,5.91%,16.45%,16.23%,18.12%,49.83%,5.16%,10.65%,27.35%,17.89%,44.74%,4.85%,5.16%,45.92%,19.34%,31.92%,1.67%,1.15%,31.17%,16.77%,47.49%,1.97%,2.61%,,,,,,58.60%,31.28%,2.95%,3.19%,3.98%,66.57%,27.62%,1.31%,4.07%,0.42%,74.31%,20.03%,3.15%,1.96%,0.55%,83.76%,14.23%,1.39%,0.59%,0.02%,78.57%,18.60%,1.49%,1.25%,0.10%,,,,,
00-MC,Reading,0.00%,0.00%,0.00%,100.00%,0.00%,0.19%,8.55%,91.26%,0.00%,0.00%,0.00%,100.00%,0.00%,0.19%,7.92%,91.89%,0.00%,0.19%,7.92%,91.89%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.02%,99.98%,0.00%,0.00%,0.14%,2.12%,97.73%,0.00%,0.00%,0.00%,0.02%,99.98%,0.00%,0.00%,0.10%,2.61%,97.30%,0.00%,0.00%,0.00%,0.96%,99.04%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.17%,99.83%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%
00-EE,Redcar and Cleveland,0.11%,0.54%,3.75%,95.60%,0.95%,3.11%,27.62%,68.32%,2.64%,3.49%,12.37%,81.51%,11.09%,15.36%,26.17%,47.39%,11.09%,15.36%,26.17%,47.39%,,,,,0.02%,0.08%,4.03%,4.95%,90.93%,0.50%,2.40%,15.96%,10.22%,70.93%,0.71%,1.13%,7.25%,10.23%,80.68%,3.75%,6.23%,19.85%,20.80%,49.38%,1.09%,5.46%,13.47%,18.43%,61.54%,,,,,,0.03%,0.13%,6.84%,6.59%,86.40%,0.36%,1.77%,17.30%,8.48%,72.10%,1.41%,1.29%,6.72%,8.78%,81.81%,3.53%,4.48%,19.09%,13.26%,59.63%,2.62%,2.48%,14.42%,6.92%,73.56%,,,,,
00-RC,Renfrewshire,0.01%,0.06%,0.50%,99.44%,0.41%,3.91%,17.66%,78.03%,3.51%,4.87%,13.54%,78.08%,18.17%,11.48%,23.82%,46.53%,18.17%,11.48%,23.82%,46.53%,0.00%,0.00%,5.37%,94.63%,0.00%,0.00%,0.01%,0.14%,99.85%,0.01%,0.02%,0.27%,4.31%,95.38%,0.34%,0.35%,1.53%,7.07%,90.70%,3.42%,4.14%,9.25%,16.68%,66.52%,1.00%,1.23%,2.46%,9.68%,85.62%,0.00%,0.00%,0.00%,4.96%,95.04%,0.00%,0.00%,0.00%,3.77%,96.23%,0.01%,0.05%,0.42%,19.23%,80.28%,0.55%,1.01%,1.56%,6.85%,90.03%,4.42%,4.54%,8.77%,20.40%,61.87%,0.59%,1.29%,3.58%,18.37%,76.17%,0.00%,0.00%,0.00%,21.07%,78.93%
00-PF,Rhondda Cynon Taf - Rhondda Cynon Taff,0.07%,1.31%,11.56%,87.06%,1.99%,10.33%,33.88%,53.81%,5.63%,9.43%,17.16%,67.78%,20.27%,19.20%,25.48%,35.05%,20.27%,19.20%,25.48%,35.05%,0.00%,0.00%,31.19%,68.81%,0.01%,0.25%,2.96%,8.73%,88.05%,1.47%,2.95%,9.70%,17.02%,68.86%,1.81%,3.73%,6.44%,14.06%,73.97%,10.57%,9.15%,13.78%,19.74%,46.76%,4.13%,4.98%,12.07%,20.05%,58.78%,0.00%,0.00%,1.83%,11.93%,86.24%,0.89%,12.71%,16.46%,31.88%,38.06%,8.91%,25.86%,19.20%,26.67%,19.37%,9.88%,21.13%,14.20%,19.63%,35.17%,21.67%,29.72%,17.15%,16.16%,15.31%,11.59%,28.30%,21.24%,21.51%,17.35%,0.00%,0.00%,3.67%,11.93%,84.40%
00-BQ,Rochdale District,0.02%,0.00%,0.37%,99.60%,0.31%,2.54%,14.69%,82.46%,0.05%,0.33%,3.06%,96.56%,3.69%,7.52%,20.48%,68.32%,3.69%,7.52%,20.48%,68.32%,0.00%,0.33%,2.97%,96.70%,0.00%,0.00%,0.00%,0.37%,99.63%,0.00%,0.08%,0.29%,9.45%,90.19%,0.00%,0.01%,0.03%,1.67%,98.30%,0.12%,0.57%,2.82%,17.15%,79.33%,0.00%,0.31%,1.49%,11.44%,86.76%,0.00%,0.00%,0.00%,6.60%,93.40%,0.00%,0.00%,0.32%,2.72%,96.96%,0.00%,2.31%,1.97%,12.70%,83.02%,0.01%,0.03%,0.56%,2.93%,96.48%,0.17%,3.72%,5.64%,15.01%,75.46%,0.16%,6.19%,3.92%,11.99%,77.74%,0.00%,0.99%,0.66%,7.92%,90.43%
00-CF,Rotherham District,0.02%,0.14%,1.57%,98.27%,1.23%,5.05%,24.19%,69.54%,0.33%,1.55%,4.94%,93.18%,5.72%,10.07%,22.13%,62.08%,5.72%,10.07%,22.13%,62.08%,0.00%,0.00%,3.53%,96.47%,0.00%,0.00%,0.01%,0.70%,99.29%,0.04%,0.14%,1.25%,13.25%,85.31%,0.00%,0.00%,0.25%,2.75%,97.00%,0.66%,1.84%,4.83%,17.92%,74.75%,0.21%,0.76%,3.10%,15.06%,80.87%,0.00%,0.00%,0.00%,5.13%,94.87%,0.00%,0.00%,0.02%,0.14%,99.84%,0.01%,0.20%,1.58%,14.30%,83.92%,0.00%,0.01%,0.16%,2.02%,97.81%,0.13%,2.02%,4.11%,13.73%,80.01%,0.00%,0.68%,2.76%,10.56%,86.00%,0.00%,0.00%,0.00%,0.96%,99.04%
00-FP,Rutland,1.40%,5.37%,28.47%,64.76%,16.13%,35.01%,34.05%,14.81%,1.17%,4.11%,21.34%,73.39%,11.55%,28.98%,34.68%,24.79%,11.55%,28.98%,34.68%,24.79%,,,,,0.01%,1.07%,2.88%,45.73%,50.31%,6.39%,9.45%,17.94%,53.38%,12.85%,0.14%,0.61%,3.19%,16.09%,79.97%,4.13%,9.93%,23.34%,32.84%,29.76%,0.65%,4.58%,18.79%,36.22%,39.77%,,,,,,2.01%,19.38%,35.46%,25.92%,17.24%,17.44%,53.54%,21.46%,6.79%,0.78%,1.22%,11.45%,14.92%,27.48%,44.92%,10.40%,34.15%,24.97%,24.92%,5.56%,7.36%,30.54%,24.98%,26.21%,10.91%,,,,,
00-BR,Salford District,0.00%,0.00%,0.08%,99.92%,0.06%,1.34%,11.77%,86.82%,0.00%,0.36%,0.98%,98.67%,0.70%,4.62%,20.69%,74.00%,0.70%,4.62%,20.69%,74.00%,0.00%,0.87%,15.61%,83.53%,0.00%,0.00%,0.00%,0.01%,99.99%,0.00%,0.00%,0.10%,3.90%,96.00%,0.00%,0.00%,0.00%,0.13%,99.87%,0.01%,0.16%,0.56%,10.51%,88.75%,0.00%,0.00%,0.30%,3.78%,95.92%,0.00%,0.00%,0.00%,13.29%,86.71%,0.00%,0.00%,0.00%,0.01%,99.99%,0.00%,0.00%,0.02%,4.19%,95.79%,0.00%,0.00%,0.00%,0.05%,99.95%,0.00%,0.44%,0.66%,8.12%,90.78%,0.00%,0.00%,0.00%,4.30%,95.70%,0.00%,0.00%,0.00%,5.78%,94.22%
00-CS,Sandwell District,0.00%,0.00%,0.09%,99.91%,0.00%,1.12%,17.89%,80.99%,0.00%,0.00%,0.08%,99.92%,0.00%,0.91%,15.69%,83.40%,0.00%,0.91%,15.69%,83.40%,0.00%,0.00%,7.35%,92.65%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.87%,4.99%,94.14%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.68%,4.77%,94.55%,0.00%,0.00%,0.22%,5.31%,94.47%,0.00%,0.00%,0.00%,1.47%,98.53%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,2.96%,97.04%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,2.77%,97.23%,0.00%,0.00%,0.00%,1.15%,98.85%,0.00%,0.00%,0.00%,2.94%,97.06%
00-QE,Scottish Borders,2.57%,2.38%,9.87%,85.18%,7.64%,13.47%,27.60%,51.29%,28.22%,12.90%,19.61%,39.27%,51.63%,17.64%,17.03%,13.70%,51.63%,17.64%,17.03%,13.70%,,,,,2.62%,1.41%,7.47%,7.37%,81.13%,4.61%,3.10%,16.34%,14.26%,61.68%,25.17%,10.61%,13.91%,14.07%,36.23%,43.05%,12.02%,16.48%,12.00%,16.45%,22.34%,8.51%,20.00%,16.84%,32.31%,,,,,,5.51%,4.74%,18.56%,21.62%,49.57%,11.10%,13.03%,18.30%,28.06%,29.51%,36.53%,12.18%,14.88%,14.99%,21.42%,52.70%,12.80%,14.64%,12.83%,7.03%,31.33%,12.80%,20.96%,22.40%,12.51%,,,,,
00-CA,Sefton District,0.00%,0.09%,0.48%,99.43%,0.74%,1.15%,20.44%,77.67%,0.84%,1.86%,4.10%,93.20%,6.96%,8.95%,21.50%,62.60%,6.96%,8.95%,21.50%,62.60%,0.00%,0.00%,17.31%,82.69%,0.00%,0.00%,0.00%,0.23%,99.77%,0.03%,0.16%,0.47%,11.66%,87.68%,0.00%,0.04%,0.53%,3.79%,95.65%,1.13%,1.86%,3.38%,19.23%,74.40%,0.00%,0.00%,0.83%,13.42%,85.75%,0.00%,0.00%,0.00%,3.85%,96.15%,0.00%,0.00%,0.00%,0.14%,99.86%,0.00%,0.00%,0.61%,3.08%,96.30%,0.00%,0.00%,0.06%,1.48%,98.46%,0.00%,1.28%,3.43%,10.16%,85.13%,0.00%,0.00%,1.72%,3.30%,94.98%,0.00%,0.00%,0.00%,2.88%,97.12%
